Longitude,Lattitude,Pixel,Scan
43.4776849,-74.3571471,8000,400
43.4747638,-74.3570789,8100,400
43.4718425,-74.3570107,8200,400
43.4689209,-74.3569424,8300,400
43.4659991,-74.3568741,8400,400
43.4630771,-74.3568057,8500,400
43.4601548,-74.3567373,8600,400
43.4572322,-74.3566688,8700,400
43.4543094,-74.3566003,8800,400
43.4513863,-74.3565318,8900,400
43.448463,-74.3564632,9000,400
43.4455395,-74.3563945,9100,400
43.4426157,-74.3563259,9200,400
43.4396917,-74.3562571,9300,400
43.4367674,-74.3561883,9400,400
43.4338428,-74.3561195,9500,400
43.430918,-74.3560507,9600,400
43.427993,-74.3559817,9700,400
43.4250677,-74.3559128,9800,400
43.4221421,-74.3558438,9900,400
43.4192164,-74.3557747,10000,400
43.4162903,-74.3557056,10100,400
43.413364,-74.3556365,10200,400
43.4104375,-74.3555673,10300,400
43.4075107,-74.3554981,10400,400
43.4045837,-74.3554288,10500,400
43.4016564,-74.3553595,10600,400
43.3987289,-74.3552901,10700,400
43.3958011,-74.3552207,10800,400
43.3928731,-74.3551513,10900,400
43.3899448,-74.3550818,11000,400
43.3870162,-74.3550122,11100,400
43.3840875,-74.3549426,11200,400
43.3811584,-74.354873,11300,400
43.3782291,-74.3548033,11400,400
43.3752996,-74.3547336,11500,400
43.3723698,-74.3546638,11600,400
43.3694398,-74.354594,11700,400
43.3665095,-74.3545241,11800,400
43.363579,-74.3544542,11900,400
43.3606775,-74.354385,11999,400
43.7108482,-74.3615592,0,500
43.707947,-74.3614946,100,500
43.7050456,-74.3614299,200,500
43.7021439,-74.3613652,300,500
43.6992419,-74.3613005,400,500
43.6963397,-74.3612357,500,500
43.6934373,-74.3611708,600,500
43.6905346,-74.3611059,700,500
43.6876317,-74.361041,800,500
43.6847285,-74.360976,900,500
43.6818251,-74.360911,1000,500
43.6789214,-74.3608459,1100,500
43.6760175,-74.3607808,1200,500
43.6731134,-74.3607157,1300,500
43.670209,-74.3606505,1400,500
43.6673044,-74.3605852,1500,500
43.6643995,-74.3605199,1600,500
43.6614944,-74.3604546,1700,500
43.658589,-74.3603892,1800,500
43.6556834,-74.3603238,1900,500
43.6527775,-74.3602584,2000,500
43.6498714,-74.3601928,2100,500
43.6469651,-74.3601273,2200,500
43.6440585,-74.3600617,2300,500
43.6411516,-74.3599961,2400,500
43.6382446,-74.3599304,2500,500
43.6353372,-74.3598646,2600,500
43.6324296,-74.3597989,2700,500
43.6295218,-74.359733,2800,500
43.6266138,-74.3596672,2900,500
43.6237054,-74.3596013,3000,500
43.6207969,-74.3595353,3100,500
43.6178881,-74.3594693,3200,500
43.614979,-74.3594033,3300,500
43.6120697,-74.3593372,3400,500
43.6091602,-74.3592711,3500,500
43.6062504,-74.3592049,3600,500
43.6033404,-74.3591387,3700,500
43.6004301,-74.3590724,3800,500
43.5975196,-74.3590061,3900,500
43.5946088,-74.3589398,4000,500
43.5916978,-74.3588734,4100,500
43.5887865,-74.3588069,4200,500
43.585875,-74.3587404,4300,500
43.5829633,-74.3586739,4400,500
43.5800513,-74.3586073,4500,500
43.577139,-74.3585407,4600,500
43.5742265,-74.3584741,4700,500
43.5713138,-74.3584073,4800,500
43.5684008,-74.3583406,4900,500
43.5654876,-74.3582738,5000,500
43.5625741,-74.3582069,5100,500
43.5596604,-74.3581401,5200,500
43.5567464,-74.3580731,5300,500
43.5538322,-74.3580062,5400,500
43.5509177,-74.3579391,5500,500
43.548003,-74.3578721,5600,500
43.545088,-74.357805,5700,500
43.5421728,-74.3577378,5800,500
43.5392574,-74.3576706,5900,500
43.5363417,-74.3576034,6000,500
43.5334257,-74.3575361,6100,500
43.5305095,-74.3574687,6200,500
43.5275931,-74.3574014,6300,500
43.5246764,-74.3573339,6400,500
43.5217595,-74.3572665,6500,500
43.5188423,-74.357199,6600,500
43.5159248,-74.3571314,6700,500
43.5130072,-74.3570638,6800,500
43.5100892,-74.3569961,6900,500
43.5071711,-74.3569284,7000,500
43.5042526,-74.3568607,7100,500
43.501334,-74.3567929,7200,500
43.4984151,-74.3567251,7300,500
43.4954959,-74.3566572,7400,500
43.4925765,-74.3565893,7500,500
43.4896568,-74.3565213,7600,500
43.4867369,-74.3564533,7700,500
43.4838168,-74.3563853,7800,500
43.4808964,-74.3563172,7900,500
43.4779757,-74.3562491,8000,500
43.4750548,-74.3561809,8100,500
43.4721337,-74.3561126,8200,500
43.4692123,-74.3560444,8300,500
43.4662906,-74.355976,8400,500
43.4633687,-74.3559077,8500,500
43.4604466,-74.3558393,8600,500
43.4575242,-74.3557708,8700,500
43.4546016,-74.3557023,8800,500
43.4516787,-74.3556337,8900,500
43.4487555,-74.3555652,9000,500
43.4458322,-74.3554965,9100,500
43.4429085,-74.3554278,9200,500
43.4399847,-74.3553591,9300,500
43.4370605,-74.3552903,9400,500
43.4341361,-74.3552215,9500,500
43.4312115,-74.3551526,9600,500
43.4282866,-74.3550837,9700,500
43.4253615,-74.3550148,9800,500
43.4224362,-74.3549458,9900,500
43.4195105,-74.3548767,10000,500
43.4165847,-74.3548077,10100,500
43.4136585,-74.3547385,10200,500
43.4107322,-74.3546693,10300,500
43.4078056,-74.3546001,10400,500
43.4048787,-74.3545308,10500,500
43.4019516,-74.3544615,10600,500
43.3990242,-74.3543922,10700,500
43.3960966,-74.3543228,10800,500
43.3931687,-74.3542533,10900,500
43.3902406,-74.3541838,11000,500
43.3873122,-74.3541143,11100,500
43.3843836,-74.3540447,11200,500
43.3814548,-74.353975,11300,500
43.3785257,-74.3539054,11400,500
43.3755963,-74.3538356,11500,500
43.3726667,-74.3537659,11600,500
43.3697368,-74.3536961,11700,500
43.3668067,-74.3536262,11800,500
43.3638764,-74.3535563,11900,500
43.360975,-74.353487,11999,500
43.7111259,-74.3606608,0,600
43.7082249,-74.3605962,100,600
43.7053236,-74.3605316,200,600
43.702422,-74.3604668,300,600
43.6995203,-74.3604021,400,600
